Date : 2023-09-04 16:53:18
Directory : c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree
Total : 89 files,  23569 codes, 529 comments, 1456 blanks, all 25554 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\__test\clerk.getAllUsers.test.ts                | TypeScript         |         25 |         31 |          6 |         62 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\__test\posts.exampleMock.test.ts                | TypeScript         |         26 |          0 |          7 |         33 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\__test\posts.getById.test.ts                    | TypeScript         |         38 |         84 |         10 |        132 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\__test\posts.infiniteScrollAllPosts.test.ts     | TypeScript         |         24 |          1 |         13 |         38 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\__test\posts.likePost.test.ts                   | TypeScript         |         92 |          1 |         24 |        117 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\__test\posts.retweetPost.test.ts                | TypeScript         |         92 |          1 |         24 |        117 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\clerk.ts                                        | TypeScript         |         34 |          1 |          3 |         38 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\followers.ts                                    | TypeScript         |        148 |         12 |         47 |        207 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\messages.ts                                     | TypeScript         |        201 |         11 |         37 |        249 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\posts.ts                                        | TypeScript         |      1,511 |         59 |        179 |      1,749 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\profile.ts                                      | TypeScript         |        137 |         16 |         30 |        183 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\trpc.ts                                                 | TypeScript         |         58 |         47 |         22 |        127 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\db.ts                                                       | TypeScript         |         12 |          0 |          4 |         16 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\helpers\FilterUserForClient.ts                              | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\helpers\countHashtags.ts                                    | TypeScript         |         22 |          0 |          5 |         27 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\helpers\similarityScore.ts                                  | TypeScript         |          8 |          1 |          3 |         12 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\helpers\ssgHelper.ts                                        | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\pusher.ts                                                   | TypeScript         |          9 |          0 |          1 |         10 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\styles\globals.css                                                 | CSS                |         46 |          0 |         16 |         62 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\utils\api.ts                                                       | TypeScript         |         30 |         32 |          6 |         68 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\tailwind.config.ts                                                     | TypeScript         |         86 |          0 |          5 |         91 |
| c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\tsconfig.json                                                          | JSON with Comments |         26 |          9 |          0 |         35 |
| Total                                                                                                                                       |                    |     23,569 |        529 |      1,456 |     25,554 |
+---------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
