"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "Markdown", "TypeScript JSX", "CSS", "YAML", "Prisma", "comment", "blank", "total"
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 106, 0, 0, 0, 2, 11, 119
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\messages\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 22, 151
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\messages\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 99, 0, 0, 0, 1, 14, 114
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\post\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 14, 77
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\reply\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 0, 1, 14, 78
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\sign-in\[[...index]].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\pages\sign-up\[[...index]].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\root.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 4, 24
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\__test\clerk.getAllUsers.test.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 31, 6, 62
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\__test\posts.exampleMock.test.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\__test\posts.getById.test.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 84, 10, 132
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\__test\posts.infiniteScrollAllPosts.test.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 13, 38
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\__test\posts.likePost.test.ts", "TypeScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 1, 24, 117
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\__test\posts.retweetPost.test.ts", "TypeScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 1, 24, 117
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\clerk.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 3, 38
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\followers.ts", "TypeScript", 0, 148, 0, 0, 0, 0, 0, 0, 0, 12, 47, 207
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\messages.ts", "TypeScript", 0, 201, 0, 0, 0, 0, 0, 0, 0, 11, 37, 249
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\posts.ts", "TypeScript", 0, 1511, 0, 0, 0, 0, 0, 0, 0, 59, 179, 1749
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\routers\profile.ts", "TypeScript", 0, 137, 0, 0, 0, 0, 0, 0, 0, 16, 30, 183
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\api\trpc.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 47, 22, 127
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\db.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\helpers\FilterUserForClient.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\helpers\countHashtags.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\helpers\similarityScore.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\helpers\ssgHelper.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\server\pusher.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 16, 62
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\utils\api.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 32, 6, 68
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\tailwind.config.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 5, 91
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 35
"Total", "-", 26, 2635, 114, 12562, 377, 7674, 46, 47, 88, 529, 1456, 25554
